Date,Ratio
12/3/2014,0.873664213
12/4/2014,0.871764427
12/5/2014,0.852291617
12/6/2014,0.844217526
12/7/2014,0.871526953
12/8/2014,0.875801472
12/9/2014,0.851104251
12/10/2014,0.851816671
12/11/2014,0.852054144
12/12/2014,0.815958205
12/13/2014,0.823082403
12/14/2014,0.862502968
12/15/2014,0.882450724
12/16/2014,0.879126098
12/17/2014,0.870577060
12/18/2014,0.858940869
12/19/2014,0.775825220
12/20/2014,0.772500594
12/21/2014,0.800047495
12/22/2014,0.817383044
12/23/2014,0.808834006
12/24/2014,0.763476609
12/25/2014,0.779862265
12/26/2014,0.791023510
12/27/2014,0.795298029
12/28/2014,0.836855854
12/29/2014,0.852054144
12/30/2014,0.812633579
12/31/2014,0.747328426
1/1/2015,0.814727955
1/2/2015,0.817073171
1/3/2015,0.824577861
1/4/2015,0.851078799
1/5/2015,0.859521576
1/6/2015,0.853893058
1/7/2015,0.844746717
1/8/2015,0.851078799
1/9/2015,0.817776735
1/10/2015,0.832317073
1/11/2015,0.866322702
1/12/2015,0.868902439
1/13/2015,0.855065666
1/14/2015,0.859990619
1/15/2015,0.855534709
1/16/2015,0.825046904
1/17/2015,0.821060038
1/18/2015,0.846857411
1/19/2015,0.861163227
1/20/2015,0.866322702
1/21/2015,0.866088180
1/22/2015,0.855300188
1/23/2015,0.824108818
1/24/2015,0.809803002
1/25/2015,0.832317073
1/26/2015,0.841463415
1/27/2015,0.812382739
1/28/2015,0.811444653
1/29/2015,0.808630394
1/30/2015,0.799671593
1/31/2015,0.812148218
2/1/2015,0.814024390
2/2/2015,0.836030964
2/3/2015,0.843105066
2/4/2015,0.840056285
2/5/2015,0.850140713
2/6/2015,0.830909944
2/7/2015,0.823170732
2/8/2015,0.870544090
2/9/2015,0.880628518
2/10/2015,0.855300188
2/11/2015,0.865384615
2/12/2015,0.839118199
2/13/2015,0.826688555
2/14/2015,0.810272045
2/15/2015,0.829737336
2/16/2015,0.857645403
2/17/2015,0.855300188
2/18/2015,0.852485929
2/19/2015,0.840525328
2/20/2015,0.822936210
2/21/2015,0.824577861
2/22/2015,0.847091932
2/23/2015,0.844277674
2/24/2015,0.807692308
2/25/2015,0.806285178
2/26/2015,0.817542214
2/27/2015,0.787054409
2/28/2015,0.772279550
3/1/2015,0.817073171
3/2/2015,0.837711069
3/3/2015,0.851547842
3/4/2015,0.840290807
3/5/2015,0.820825516
3/6/2015,0.799015009
3/7/2015,0.795262664
3/8/2015,0.826219512
3/9/2015,0.813086304
3/10/2015,0.836772983
3/11/2015,0.846153846
3/12/2015,0.819418386
3/13/2015,0.796669794
3/14/2015,0.799015009
3/15/2015,0.854127580
3/16/2015,0.862804878
3/17/2015,0.865384615
3/18/2015,0.848968105
3/19/2015,0.858583490
3/20/2015,0.829971857
3/21/2015,0.829502814
3/22/2015,0.855300188
3/23/2015,0.860225141
3/24/2015,0.873827392
3/25/2015,0.850609756
3/26/2015,0.768996248
3/27/2015,0.750703565
3/28/2015,0.767589118
3/29/2015,0.793151970
3/30/2015,0.793151970
3/31/2015,0.810975610
4/1/2015,0.814727955
4/2/2015,0.794559099
4/3/2015,0.779080675
4/4/2015,0.814962477
4/5/2015,0.820590994
4/6/2015,0.838180113
4/7/2015,0.831378987
4/8/2015,0.822467167
4/9/2015,0.808630394
4/10/2015,0.782129456
4/11/2015,0.772514071
4/12/2015,0.821763602
4/13/2015,0.823639775
4/14/2015,0.833489681
4/15/2015,0.836772983
4/16/2015,0.808395872
4/17/2015,0.790806754
4/18/2015,0.786350844
4/19/2015,0.815196998
4/20/2015,0.806519700
4/21/2015,0.785647280
4/22/2015,0.818714822
4/23/2015,0.817776735
4/24/2015,0.811913696
4/25/2015,0.771810507
4/26/2015,0.793621013
4/27/2015,0.760318949
4/28/2015,0.746013133
4/29/2015,0.785881801
4/30/2015,0.772279550
5/1/2015,0.772605411
5/2/2015,0.765293688
5/3/2015,0.829149403
5/4/2015,0.825980990
5/5/2015,0.846453814
5/6/2015,0.854009262
5/7/2015,0.839629539
5/8/2015,0.808189130
5/9/2015,0.791128443
5/10/2015,0.832561540
5/11/2015,0.835486230
5/12/2015,0.845235194
5/13/2015,0.845722642
5/14/2015,0.843772849
5/15/2015,0.805751889
5/16/2015,0.787960029
5/17/2015,0.800389959
5/18/2015,0.819887887
5/19/2015,0.809651475
5/20/2015,0.792103339
5/21/2015,0.795028028
